nomeProposicao,idProposicao,idProposicaoPrincipal,nomeProposicaoOrigem,tipoProposicao,tema,Ementa,ExplicacaoEmenta,Autor,ideCadastro,ufAutor,partidoAutor,DataApresentacao,RegimeTramitacao,UltimoDespacho,Apreciacao,Indexacao,Situacao,LinkInteiroTeor,apensadas,apensadas_proposicao
PL 7932/2014,622096,"
  ","
  ",Projeto de Lei,Educação,"Autoriza a criação da Universidade Federal Indígena de Roraima (UFIRR), Estado de Roraima.","
  ",Luciano Castro,73982,RR,PR        ,02/09/2014,"Ordinário (Art. 151, III, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Educação; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Autorização, Poder Executivo, criação, Universidade Federal Indígena de Roraima (UFIRR), Roraima.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276186,,
PL 7931/2014,622094,"
  ","
  ",Projeto de Lei,Cidades e Desenvolvimento Urbano,"Acrescenta o inciso XII ao art. 20 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro.",Estabelece que o Certificado de Licenciamento Anual será emitido pela Polícia Rodoviária Federal.,Onofre Santo Agostini,160563,SC,PSD       ,02/09/2014,"Ordinário (Art. 151, III, RICD)","Às Comissões de Viação e Transportes e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Alteração, Código de Trânsito Brasileiro, competência, Polícia Rodoviária Federal, emissão, Certificado de Licenciamento Anual, convênio, autoridade, trânsito, Estados, Distrito Federal, Municípios.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276175,,"
      "
PL 7930/2014,622089,"
  ","
  ",Projeto de Lei,Homenagens e Datas Comemorativas,"Denomina ""Aeroporto Internacional de Recife/Guararapes - Gov. Eduardo Campos"" ao aeroporto da Cidade de Recife, Estado de Pernambuco. ","
  ",João Caldas,74559,AL,SD        ,02/09/2014,"Ordinário (Art. 151, III, RICD)","Às Comissões de Viação e Transportes; Cultura e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação do Plenário,"Denominação, Aeroporto  Internacional,  Recife (PE), homenagem póstuma, ex-governador de Estado. ",CCJC - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276117,,"
      "
PL 7928/2014,622084,"
  ","
  ",Projeto de Lei,Administração Pública,"Acrescenta dispositivo ao art. 134 da Lei nº 8.112, de 11 de dezembro de 1990 (Regime Jurídico dos Servidores Civis da União), para prevê o caso de prescrição da penalidade de cassação de aposentadoria.","
  ",Amauri Teixeira,160603,BA,PT        ,01/09/2014,.,"Devolva-se a proposição, nos termos do art. 137, § 1º, inciso II, alínea ""b"", do RICD, por contrariar o disposto no artigo 61, § 1º, inciso II, alínea ""c"", da Constituição Federal.Oficie-se ao Autor, sugerindo-lhe a forma de Indicação.Publique-se.",.,"Alteração, Regime Jurídico Único, prazo, prescrição, crime contra a administração pública, aplicação,  penalidade, cassação de aposentadoria.",ARQUIVO - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276050,,
PL 7929/2014,622088,"
  ","
  ",Projeto de Lei,Cidades e Desenvolvimento Urbano,"Altera a Lei nº 12.305, de 02 de agosto de 2010, prevendo apoio aos municípios para a elaboração dos planos municipais de gestão integrada de resíduos sólidos e para a garantia de disposição final ambientalmente adequada dos rejeitos, e dá outras providências.","
  ",Inocêncio Oliveira,74421,PE,PR        ,02/09/2014,"Prioridade (Art. 151, II, RICD)",Apense-se ao PL-3972/2012. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei dos Resíduos Sólidos, prorrogação, prazo, tratamento, resíduo sólido, implantação, plano   estadual de resíduos sólidos, plano municipal de gestão integrada de resíduos sólidos, União Federal, Estado, apoio técnico, apoio financeiro, município.",Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276116,,"
      "
PL 7927/2014,622076,"
  ","
  ",Projeto de Lei,Administração Pública,Dispõe sobre a criação de cargos de provimento efetivo no Quadro de Pessoal da Secretaria do Tribunal Regional do Trabalho da 10ª Região e dá outras providências.,"
  ",Tribunal Superior do Trabalho,"
  ","
  ","
  ",29/08/2014,"Prioridade (Art. 151, II, RICD)","Submeta-se ao Plenário, nos termos do art. 104, § 1º, do Regimento Interno da Câmara dos Deputados. Publique-se. Oficie-se.",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Criação, cargo efetivo, Analista Judiciário, Especialidade, Tecnologia, Informação, Tribunal Regional do Trabalho (TRT), Décima Região, Brasília (DF).",CFT - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1276343,,
PL 7926/2014,622074,"
  ","
  ",Projeto de Lei,Administração Pública,"Altera dispositivos da Lei nº 11.950, de 17 de junho de 2009, e dispõe sobre o Quadro de Pessoal e o Plano de Carreira do Tribunal de Contas da União e dá outras providências.

NOVA EMENTA: Acrescenta art. 15-B à Lei nº 10.356, de 27 de dezembro de 2001, para instituir o Adicional de Especialização e Qualificação aos servidores do quadro de pessoal da Secretaria do Tribunal de Contas da União.","
  ",Tribunal de Contas da União,"
  ","
  ","
  ",29/08/2014,"Urgência (Art. 155, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Alteração, lei federal, cálculo, parcela, Gratificação de Desempenho, inclusão, proventos, aposentadoria, pensão, servidor, cargo efetivo, Tribunal de Contas da União (TCU), criação, Adicional de Especialização e Qualificação, fixação, valor, função de confiança, cargo em comissão.",Tranformada no(a) Lei Ordinária 14832/2024,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275784,,
PL 7922/2014,622070,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre a estruturação do Plano de Carreiras e Cargos dos Servidores da Defensoria Pública da União, fixa o valor de suas remunerações e dá outras providências","
  ",Defensoria Pública da União,"
  ","
  ","
  ",29/08/2014,"Urgência (Art. 155, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Reestruturação, plano de carreira, cargo efetivo, Analista, Técnico, Defensoria Pública da União (DPU), atribuição, ingresso, remuneração, gratificação de atividade, movimentação, quadro de pessoal.",Tranformada no(a) Lei Ordinária 14377/2022,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275779,,
PL 7925/2014,622073,"
  ","
  ",Projeto de Lei,Defesa e Segurança,"Criminaliza a comercialização e o uso de bloqueador de celulares de alta potência (""jammer"").","
  ",Carlos Bezerra,141401,MT,PMDB      ,29/08/2014,"Ordinário (Art. 151, III, RICD)","À Comissão de Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação do Plenário,"Tipicidade, crime, importação, exportação, fabricação, comercialização, posse, bloqueador, telefone celular, pena de reclusão.",PLEN - Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275773,,"
      "
PL 7923/2014,622071,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre a criação de cargos em comissão e de funções de confiança no quadro de pessoal da Defensória Pública da União.
","
  ",Defensoria Pública da União,"
  ","
  ","
  ",29/08/2014,"Prioridade (Art. 151, II, RICD)","Decisão da Presidência  de 15/03/2023, conforme o seguinte teor: ""Tendo em vista a edição da Resolução da Câmara dos Deputados n. 1, de 2023 [,..], criando a Comissão de Trabalho e a Comissão de Administração e Serviço Público, revejo o despacho de distribuição...""...""para o fim de determinar sua redistribuição à Comissão de Administração e Serviço Público, em substituição à Comissão de Trabalho, de Administração e Serviço Público, extinta pela mesma Resolução"".  ",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Criação, cargo em comissão, função comissionada, quadro de pessoal, Defensoria Pública da União (DPU).",CCJC - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275774,,
PL 7921/2014,622068,"
  ","
  ",Projeto de Lei,Administração Pública,Cria cargos efetivos e em comissão e funções de confiança no Quadro de Pessoal do Conselho Nacional do Ministério Público e dá outras providências.,"Altera a Lei nº 11.372, de 2006 e revoga dispositivo da lei nº 12.412, de 2011.",MINISTÉRIO PÚBLICO DA UNIÃO,"
  ","
  ","
  ",29/08/2014,"Prioridade (Art. 151, II, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Criação, cargo efetivo, cargo em comissão, função de confiança, quadro de pessoal, Conselho Nacional do Ministério Público.",MESA - Vetado totalmente,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275756,,
PL 7924/2014,622072,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre o subsídio do Defensor Público-Geral  Federal e dá outras providências.
","Será de R$ 35.919,05 (trinta e cinco mil novecentos e dezenove reais e cinco centavos) a partir  de 01 de janeiro de 2015.",Defensoria Pública da União,"
  ","
  ","
  ",29/08/2014,"Urgência (Art. 155, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Urgência (Art. 155, RICD)",Proposição Sujeita à Apreciação do Plenário,"Reajuste, subsídio, Defensor Público-Geral Federal, critérios, fixação, valor, lei federal, iniciativa, Defensor Público.",Tranformada no(a) Lei Ordinária 13412/2016,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275767,,
PL 7918/2014,622065,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre o subsídio do Procurador-Geral da República, referido no inciso Xl do art. 37 e no §4º do art. 39, combinado com o §2º do art. 127 e alínea ""c"" do inciso I do §5º do art. 128, todos da Constituição Federal, e dá outras providências.

NOVA EMENTA: Dispõe sobre o subsídio do Procu-rador-Geral da República, referido no inciso XI do art. 37 e no § 4º do art. 39, combinados com o § 2º do art. 127 e a alínea c do inciso I do § 5º do art. 128, todos da Constituição Federal; revoga dispositivo da Lei nº 12.770, de 28 de dezembro de 2012; e dá outras providências.","Revoga o inciso III do art. 1º da Lei nº 12.770, de 2012.",MINISTÉRIO PÚBLICO DA UNIÃO,"
  ","
  ","
  ",29/08/2014,"Urgência (Art. 155, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Reajuste, subsídio mensal, Procurador-Geral da República.",Tranformada no(a) Lei Ordinária 13092/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275747,,
PL 7919/2014,622066,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre as Carreiras dos Servidores do Ministério Público da União e das Carreiras dos Servidores do Conselho Nacional do Ministério Público, fixa os valores de sua remuneração, revoga a Lei nº 11.415, de 15 de dezembro de 2006, e dá outras providências.","
  ",MINISTÉRIO PÚBLICO DA UNIÃO,"
  ","
  ","
  ",29/08/2014,"Prioridade (Art. 151, II, RICD)","(SUBSTITUTIVO DO SENADO)Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Reestruturação, plano de carreira, Ministério Público da União, Conselho Nacional do Ministério Publico, cargo efetivo, Analista, Técnico, função de confiança, cargo em comissão, remuneração, ingresso, concurso público,  movimentação, servidor, revogação, lei federal.",CFT - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275751,,
PL 7920/2014,622067,"
  ","
  ",Projeto de Lei,Administração Pública,"Altera dispositivo da Lei nº 11.416, de 15 de dezembro de 2006, Plano de Carreira dos Servidores do Poder Judiciário da União e dá outras providências.","
  ",Supremo Tribunal Federal,"
  ","
  ","
  ",29/08/2014,"Prioridade (Art. 151, II, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Alteração, Lei Federal, reajuste, tabela de vencimento, carreira, Poder Judiciário, redução, gasto, função de confiança.",MESA - Vetado totalmente,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1277044,,
PL 7917/2014,622064,"
  ","
  ",Projeto de Lei,Administração Pública,"Dispõe sobre o subsídio de Ministro do Supremo Tribunal Federal, referido no inciso XV do art. 48 da Constituição Federal, e dá outras providências.

NOVA EMENTA: Dispõe sobre o subsídio de Ministro do Supremo Tribunal Federal, referido no inciso XV do art. 48 da Constituição Federal; revoga dispositivo da Lei nº 12.771, de 28 de dezembro de 2012; e dá outras providências.","Revoga o inciso III do art. 1º da Lei nº 12.771, de 2012.",Supremo Tribunal Federal,"
  ","
  ","
  ",29/08/2014,"Urgência (Art. 155, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Reajuste, subsídio mensal, Ministro, Supremo Tribunal Federal.",Tranformada no(a) Lei Ordinária 13091/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275743,,
PL 7916/2014,622038,"
  ","
  ",Projeto de Lei,Direitos Humanos e Minorias; Educação,"Dispõe sobre a contratação de APAES e PESTALOZZIS, entidades sem fins lucrativos, como prestadoras de serviços do Poder Público, com especialização em educação especial e dá outras providências.","
  ",Romário,160597,RJ,PSB       ,27/08/2014,"Ordinário (Art. 151, III, RICD)","Às Comissões de Seguridade Social e Família; Educação; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Contratação, Associações de Pais e Amigos dos Excepcionais (Apae), Associação Pestalozzi, entidade sem fins lucrativos, prestador de serviço, poder público, educação especial, atendimento, aluno, deficiência mental, deficiência múltipla.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275345,,
PL 7914/2014,622031,"
  ","
  ",Projeto de Lei,Saúde,"Altera a Lei nº 9.656, de 1998, que ""dispõe sobre os planos e seguros privados de assistência à saúde"", para obrigar o atendimento aos portadores de obesidade mórbida.","
  ",Felipe Bornier,141430,RJ,PSD       ,26/08/2014,"Urgência (Art. 155, RICD)",Apense-se ao PL-805/2011. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei dos Planos de Saúde, obrigatoriedade, operadora, plano de saúde, atendimento, portador, obesidade mórbida, inclusão, cirurgia bariátrica.",Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275277,,
PL 7915/2014,622035,"
  ","
  ",Projeto de Lei,Previdência e Assistência Social,"Altera o art. 151 da Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social e dá outras providências, para incluir a doença de Charcot-Marie-Tooth entre as doenças que permitem a concessão, sem período de carência, de auxílio-doença e aposentadoria por invalidez.","
  ",Mara Gabrilli,160565,SP,PSDB      ,27/08/2014,"Prioridade (Art. 151, II, RICD)",Apense-se ao PL-3113/2012. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei de Benefícios da Previdência Social,  inclusão, relação, doença grave, Charcot-Marie-Tooth,  concessão, auxílio-doença, aposentadoria por invalidez.",CCJC - Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275335,,
