nomeProposicao,idProposicao,idProposicaoPrincipal,nomeProposicaoOrigem,tipoProposicao,tema,Ementa,ExplicacaoEmenta,Autor,ideCadastro,ufAutor,partidoAutor,DataApresentacao,RegimeTramitacao,UltimoDespacho,Apreciacao,Indexacao,Situacao,LinkInteiroTeor,apensadas,apensadas_proposicao
PL 7024/2013,605259,"
  ","
  ",Projeto de Lei,Administração Pública,"Acrescenta artigo à Lei nº 5.792, de 11 de julho de 1972, que ""Institui política de exploração de serviços de telecomunicações, autoriza o Poder Executivo a constituir a empresa Telecomunicações Brasileiras S/A. - TELEBRÁS, e dá outras providências"", para dispor sobre a definição de procedimentos licitatórios simplificados para a TELEBRÁS.","
  ","Comissão de Ciência e Tecnologia, Comunicação e Informática","
  ","
  ","
  ",20/12/2013,"Prioridade (Art. 151, II, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público e Constituição e Justiça e de Cidadania (Art. 54 RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Alteração, contrato, aquisição, bens e serviços, Telecomunicações Brasileiras (Telebrás), simplificação, procedimento licitatório.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215603,,
PL 7025/2013,605279,"
  ","
  ",Projeto de Lei,Direito Penal e Processual Penal; Direitos Humanos e Minorias,"Altera a Lei nº 11.340 de 7 de agosto de 2006, que cria mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do § 8º do art. 226 da Constituição Federal, da Convenção sobre a Eliminação de Todas as Formas de Discriminação contra as Mulheres e da Convenção Interamericana para Prevenir, Punir e Erradicar a Violência contra a Mulher; dispõe sobre a criação dos Juizados de Violência Doméstica e Familiar contra a Mulher; altera o Código de Processo Penal e o Código Penal; e dá outras providências.","Altera os Decretos-leis nºs 2.848, de 1940 e 3.689, de 1941.",Iara Bernardi,74780,SP,PT        ,20/12/2013,"Prioridade (Art. 151, II, RICD)",Apense-se à(ao) PL-5114/2013.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Ordinária,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei Maria da Penha, redução, prazo, remessa, expediente, concessão, medida protetiva de urgência, assinatura eletrônica, produção, armazenamento, transmissão, meio eletrônico, documento digital, ação penal pública incondicionada, violência doméstica, violência, familiar, violência contra a mulher, representação, vítima, crime contra a honra, ameaça, crime de dano, critérios, aplicação imediata, pena, revogação, prisão preventiva.  
_ Alteração, Código de Processo Penal, probição, fiança, crime, violência doméstica, violência familiar, autorização, concessão, liberdade provisória, indiciado.  
_ Alteração, Código Penal, tipicidade, crime, ameaça qualificada, perseguição obsessiva ou insidiosa, aumento da pena, lesão corporal, autor, ascendente, descedente, irmão, cônjuge, companheiro, ex-companheiro.",CCJC - Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215626,,"
      "
PL 7026/2013,605290,"
  ","
  ",Projeto de Lei,"Política, Partidos e Eleições","Altera a Lei nº 9.096, de 19 de setembro de 1995, para dispor sobre critérios à criação de novos partidos.","
  ",Marina Santanna,164361,GO,PT        ,20/12/2013,"Prioridade (Art. 151, II, RICD)",Apense-se à(ao) PL-4547/2012.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei Orgânica dos Partidos Políticos,  criação, critérios, apoio, mínimo, eleitor, assinatura, filiação partidária.",CCJC - Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215704,,
PL 7027/2013,605291,"
  ","
  ",Projeto de Lei,"Política, Partidos e Eleições","Cria cargos efetivos e funções comissionadas nos quadros de pessoal dos Tribunais Regionais Eleitorais, destinados às zonas eleitorais e transforma funções de chefes de cartórios.","
  ",TRIBUNAL SUPERIOR ELEITORAL,"
  ","
  ","
  ",20/12/2013,"Prioridade (Art. 151, II, RICD)","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Art. 54 RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Prioridade",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Criação, cargo efetivo, função de confiança, Tribunal Regional Eleitoral (TRE), destinação, zona eleitoral, transformação, função, chefe, cartório eleitoral.",Tranformada no(a) Lei Ordinária 13150/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215752,,
PL 7029/2013,605307,"
  ","
  ",Projeto de Lei,Educação,"Altera redação do art. 6º e art. 10 da Lei 11.494, de 20 de junho de 2007, e seus respectivos parágrafos, que regulamenta o Fundo  de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB, e dá outras providências.","
  ",Alessandro Molon,160511,RJ,PT        ,23/12/2013,"Ordinário (Art. 151, III, RICD)","Às Comissões de Educação; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD).Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Alteração, Lei do FUNDEB, aumento, percentual, complementação, União, distribuição,  recursos, educação básica, creche, tempo integral. ",CFT - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215915,,
PL 7022/2013,604998,"
  ","
  ",Projeto de Lei,Direito e Defesa do Consumidor,Fixa o horário mínimo para o encerramento do atendimento ao público por instituições financeiras e demais autorizadas a funcionar pelo Banco Central do Brasil.,O horário mínimo é 16:00 (local).,Felipe Bornier,141430,RJ,PSD       ,19/12/2013,"Prioridade (Art. 151, II, RICD)","Devido ao arquivamento do PL 3832/1997 nos termos do art. 105 do RICD, desapense-se do PL 3832/1997 o PL 2278/2011, o PL 7022/2013, o PL 7293/2014 e o PL 5550/2016, e, em seguida, apense-os ao PL 1589/2011.",Proposição Sujeita à Apreciação do Plenário,"Fixação, horário, encerramento, atendimento presencial, público, banco, instituição financeira.",PLEN - Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215047,,
PL 7023/2013,605019,"
  ","
  ",Projeto de Lei,Finanças Públicas e Orçamento; Previdência e Assistência Social,"Acrescenta art. 22-C à Lei nº 8.212, de 24 de julho de 1991, para dispor sobre a contribuição previdenciária substitutiva para os Municípios que possuem até trinta mil habitantes.",Dois por cento (2%) sobre a receita corrente líquida.,Diego Andrade,160588,MG,PSD       ,19/12/2013,"Ordinário (Art. 151, III, RICD)",Apense-se à(ao) PL-6110/2013.Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária,Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Alteração, Lei Orgânica da Seguridade Social, normas, substituição, contribuição previdenciária, Município, percentual, receita corrente líquida,, tributação.",CFT - Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215087,,
PL 7021/2013,604997,"
  ","
  ",Projeto de Lei,Direitos Humanos e Minorias,"Dispõe sobre a obrigatoriedade da reserva de espaços próprios em teatros, cinemas, auditórios e similares para pessoas com deficiência que utilizam cadeira de rodas e dá outras providências","
  ",Felipe Bornier,141430,RJ,PSD       ,19/12/2013,"Urgência (Art. 155, RICD)","Declarado prejudicado em face da aprovação da Subemenda Substitutiva Global apresentada ao Projeto de Lei n. 7.699/2006, principal (Sessão Deliberativa Ordinária de 5 de março de 2015).",Proposição Sujeita à Apreciação do Plenário,"Obrigatoriedade, teatro, cinema, reserva, local, destinação, pessoa portadora de deficiência, utilização, cadeira de rodas.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215046,,
PL 7020/2013,604994,"
  ","
  ",Projeto de Lei,Finanças Públicas e Orçamento,"Altera a Lei nº 11.898, de 8 de janeiro de 2009 - Lei do Sacoleiro, para incluir o Regime de Tributação Unificada (RTU) na importação de mercadorias procedentes da República Bolivariana da Venezuela.","
  ",Chico das Verduras,160634,RR,PRP       ,19/12/2013,"Ordinário (Art. 151, III, RICD)","Às Comissões de Desenvolvimento Econômico, Indústria e Comércio; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Art. 54 RICD) Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 IIRegime de Tramitação: Ordinária",Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II,"Alteração, Regime de Tributação Unificada, inclusão, Venezuela, Regime de Tributação Unificada (RTU), importação, mercadoria, via terrestre.",MESA - Arquivada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215036,,
PL 7028/2013,605305,"
  ","
  ",Projeto de Lei,Cidades e Desenvolvimento Urbano; Direito Penal e Processual Penal; Educação,"Inclui a disciplina ""Educação para o Trânsito"" como conteúdo do Ensino Fundamental e cria mecanismos para coibir a violência no trânsito, com a criação de Varas Especializadas e privativas de crimes de trânsito.","
  ",João Caldas,74559,AL,SDD       ,23/12/2013,"Ordinário (Art. 151, III, RICD)","Às Comissões de Educação e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Ordinária",Proposição Sujeita à Apreciação do Plenário,"Criação, vara especializada, privativo, crime de trânsito, cidade, inclusão, currículo escolar, ensino fundamental, educação, trânsito.",CCJC - Aguardando Designação de Relator(a),http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1215861,,"
      "
